"Year","cbns","threshold","retirees","prop"
1992,42,-1.925,42,1
1993,53,-1.925,53,1
1994,33,-1.925,34,0.970588235294118
1995,44,-1.925,44,1
1996,45,-1.925,46,0.978260869565217
1997,35,-1.925,35,1
1998,40,-1.925,42,0.952380952380952
1999,47,-1.925,48,0.979166666666667
2000,53,-1.925,53,1
2001,53,-1.925,54,0.981481481481482
2002,38,-1.925,39,0.974358974358974
2003,40,-1.925,40,1
2004,45,-1.925,46,0.978260869565217
2005,30,-1.925,30,1
2006,42,-1.925,42,1
2007,42,-1.925,43,0.976744186046512
2008,40,-1.925,40,1
2009,45,-1.925,45,1
2010,48,-1.925,49,0.979591836734694
2011,51,-1.925,52,0.980769230769231
2012,47,-1.925,48,0.979166666666667
2013,41,-1.925,42,0.976190476190476
2014,46,-1.925,46,1
2015,53,-1.925,54,0.981481481481482
2016,61,-1.925,62,0.983870967741935
2017,72,-1.925,73,0.986301369863014
2018,63,-1.925,63,1
1969,35,-1.9,36,0.972222222222222
1970,42,-1.9,43,0.976744186046512
1971,39,-1.9,41,0.951219512195122
1972,52,-1.9,52,1
1973,40,-1.9,40,1
1974,43,-1.9,44,0.977272727272727
1975,37,-1.9,37,1
1976,34,-1.9,34,1
1977,60,-1.9,60,1
1978,35,-1.9,37,0.945945945945946
1979,46,-1.9,47,0.978723404255319
1980,44,-1.9,44,1
1981,37,-1.9,39,0.948717948717949
1982,44,-1.9,46,0.956521739130435
1983,39,-1.9,40,0.975
1984,39,-1.9,39,1
1985,52,-1.9,52,1
1986,32,-1.9,32,1
1987,28,-1.9,30,0.933333333333333
1988,32,-1.9,32,1
1989,37,-1.9,37,1
1990,48,-1.9,48,1
1991,45,-1.9,45,1
1992,42,-1.9,42,1
1993,53,-1.9,53,1
1994,33,-1.9,34,0.970588235294118
1995,44,-1.9,44,1
1996,44,-1.9,46,0.956521739130435
1997,35,-1.9,35,1
1998,40,-1.9,42,0.952380952380952
1999,47,-1.9,48,0.979166666666667
2000,53,-1.9,53,1
2001,53,-1.9,54,0.981481481481482
2002,38,-1.9,39,0.974358974358974
2003,40,-1.9,40,1
2004,45,-1.9,46,0.978260869565217
2005,30,-1.9,30,1
2006,42,-1.9,42,1
2007,42,-1.9,43,0.976744186046512
2008,40,-1.9,40,1
2009,45,-1.9,45,1
2010,48,-1.9,49,0.979591836734694
2011,51,-1.9,52,0.980769230769231
2012,46,-1.9,48,0.958333333333333
2013,40,-1.9,42,0.952380952380952
2014,46,-1.9,46,1
2015,53,-1.9,54,0.981481481481482
2016,61,-1.9,62,0.983870967741935
2017,72,-1.9,73,0.986301369863014
2018,63,-1.9,63,1
1969,35,-1.875,36,0.972222222222222
1970,42,-1.875,43,0.976744186046512
1971,39,-1.875,41,0.951219512195122
1972,52,-1.875,52,1
1973,40,-1.875,40,1
1974,43,-1.875,44,0.977272727272727
1975,37,-1.875,37,1
1976,34,-1.875,34,1
1977,60,-1.875,60,1
1978,35,-1.875,37,0.945945945945946
1979,45,-1.875,47,0.957446808510638
1980,44,-1.875,44,1
1981,37,-1.875,39,0.948717948717949
1982,44,-1.875,46,0.956521739130435
1983,39,-1.875,40,0.975
1984,39,-1.875,39,1
1985,51,-1.875,52,0.980769230769231
1986,32,-1.875,32,1
1987,28,-1.875,30,0.933333333333333
1988,32,-1.875,32,1
1989,37,-1.875,37,1
1990,48,-1.875,48,1
1991,45,-1.875,45,1
1992,42,-1.875,42,1
1993,53,-1.875,53,1
1994,33,-1.875,34,0.970588235294118
1995,44,-1.875,44,1
1996,44,-1.875,46,0.956521739130435
1997,35,-1.875,35,1
1998,40,-1.875,42,0.952380952380952
1999,47,-1.875,48,0.979166666666667
2000,53,-1.875,53,1
2001,53,-1.875,54,0.981481481481482
2002,38,-1.875,39,0.974358974358974
2003,39,-1.875,40,0.975
2004,45,-1.875,46,0.978260869565217
2005,30,-1.875,30,1
2006,42,-1.875,42,1
2007,42,-1.875,43,0.976744186046512
2008,40,-1.875,40,1
2009,45,-1.875,45,1
2010,48,-1.875,49,0.979591836734694
2011,51,-1.875,52,0.980769230769231
2012,46,-1.875,48,0.958333333333333
2013,40,-1.875,42,0.952380952380952
2014,46,-1.875,46,1
2015,53,-1.875,54,0.981481481481482
2016,61,-1.875,62,0.983870967741935
2017,72,-1.875,73,0.986301369863014
2018,62,-1.875,63,0.984126984126984
1969,35,-1.85,36,0.972222222222222
1970,42,-1.85,43,0.976744186046512
1971,39,-1.85,41,0.951219512195122
1972,52,-1.85,52,1
