"","Year","cbns","threshold","retirees","prop"
"2232",2000,36,-0.9,52,0.692307692307692
"2233",2001,52,-0.9,67,0.776119402985075
"2234",2002,38,-0.9,46,0.826086956521739
"2235",2003,33,-0.9,44,0.75
"2236",2004,34,-0.9,49,0.693877551020408
"2237",2005,35,-0.9,44,0.795454545454545
"2238",2006,44,-0.9,50,0.88
"2239",2007,47,-0.9,65,0.723076923076923
"2240",2008,47,-0.9,53,0.886792452830189
"2241",2009,33,-0.9,48,0.6875
"2242",2010,37,-0.9,51,0.725490196078431
"2243",2011,35,-0.9,58,0.603448275862069
"2244",2012,44,-0.9,56,0.785714285714286
"2245",2013,39,-0.9,57,0.684210526315789
"2246",2014,37,-0.9,57,0.649122807017544
"2247",2015,41,-0.9,58,0.706896551724138
"2248",2016,44,-0.9,60,0.733333333333333
"2249",2017,57,-0.9,69,0.826086956521739
"2250",2018,51,-0.9,62,0.82258064516129
"2251",1969,24,-0.875,32,0.75
"2252",1970,27,-0.875,35,0.771428571428571
"2253",1971,33,-0.875,44,0.75
"2254",1972,37,-0.875,49,0.755102040816326
"2255",1973,36,-0.875,41,0.878048780487805
"2256",1974,34,-0.875,45,0.755555555555556
"2257",1975,27,-0.875,36,0.75
"2258",1976,28,-0.875,33,0.848484848484849
"2259",1977,40,-0.875,55,0.727272727272727
"2260",1978,23,-0.875,35,0.657142857142857
"2261",1979,31,-0.875,42,0.738095238095238
"2262",1980,38,-0.875,45,0.844444444444444
"2263",1981,21,-0.875,37,0.567567567567568
"2264",1982,26,-0.875,38,0.684210526315789
"2265",1983,25,-0.875,35,0.714285714285714
"2266",1984,34,-0.875,41,0.829268292682927
"2267",1985,42,-0.875,55,0.763636363636364
"2268",1986,36,-0.875,47,0.765957446808511
"2269",1987,26,-0.875,36,0.722222222222222
"2270",1988,32,-0.875,36,0.888888888888889
"2271",1989,38,-0.875,46,0.826086956521739
"2272",1990,40,-0.875,51,0.784313725490196
"2273",1991,35,-0.875,43,0.813953488372093
"2274",1992,40,-0.875,45,0.888888888888889
"2275",1993,37,-0.875,44,0.840909090909091
"2276",1994,27,-0.875,38,0.710526315789474
"2277",1995,38,-0.875,47,0.808510638297872
"2278",1996,25,-0.875,38,0.657894736842105
"2279",1997,26,-0.875,36,0.722222222222222
"2280",1998,35,-0.875,52,0.673076923076923
"2281",1999,44,-0.875,49,0.897959183673469
"2282",2000,36,-0.875,52,0.692307692307692
"2283",2001,52,-0.875,67,0.776119402985075
"2284",2002,37,-0.875,46,0.804347826086957
"2285",2003,33,-0.875,44,0.75
"2286",2004,34,-0.875,49,0.693877551020408
"2287",2005,33,-0.875,44,0.75
"2288",2006,41,-0.875,50,0.82
"2289",2007,47,-0.875,65,0.723076923076923
"2290",2008,47,-0.875,53,0.886792452830189
"2291",2009,32,-0.875,48,0.666666666666667
"2292",2010,35,-0.875,51,0.686274509803922
"2293",2011,32,-0.875,58,0.551724137931034
"2294",2012,44,-0.875,56,0.785714285714286
"2295",2013,39,-0.875,57,0.684210526315789
"2296",2014,37,-0.875,57,0.649122807017544
"2297",2015,41,-0.875,58,0.706896551724138
"2298",2016,44,-0.875,60,0.733333333333333
"2299",2017,57,-0.875,69,0.826086956521739
"2300",2018,50,-0.875,62,0.806451612903226
"2301",1969,24,-0.85,32,0.75
"2302",1970,27,-0.85,35,0.771428571428571
"2303",1971,31,-0.85,44,0.704545454545455
"2304",1972,37,-0.85,49,0.755102040816326
"2305",1973,36,-0.85,41,0.878048780487805
"2306",1974,34,-0.85,45,0.755555555555556
"2307",1975,26,-0.85,36,0.722222222222222
"2308",1976,26,-0.85,33,0.787878787878788
"2309",1977,39,-0.85,55,0.709090909090909
"2310",1978,23,-0.85,35,0.657142857142857
"2311",1979,31,-0.85,42,0.738095238095238
"2312",1980,37,-0.85,45,0.822222222222222
"2313",1981,21,-0.85,37,0.567567567567568
"2314",1982,26,-0.85,38,0.684210526315789
"2315",1983,25,-0.85,35,0.714285714285714
"2316",1984,34,-0.85,41,0.829268292682927
"2317",1985,42,-0.85,55,0.763636363636364
"2318",1986,36,-0.85,47,0.765957446808511
"2319",1987,25,-0.85,36,0.694444444444444
"2320",1988,32,-0.85,36,0.888888888888889
"2321",1989,38,-0.85,46,0.826086956521739
"2322",1990,39,-0.85,51,0.764705882352941
"2323",1991,35,-0.85,43,0.813953488372093
"2324",1992,40,-0.85,45,0.888888888888889
"2325",1993,37,-0.85,44,0.840909090909091
"2326",1994,26,-0.85,38,0.684210526315789
"2327",1995,38,-0.85,47,0.808510638297872
"2328",1996,25,-0.85,38,0.657894736842105
"2329",1997,26,-0.85,36,0.722222222222222
"2330",1998,33,-0.85,52,0.634615384615385
"2331",1999,44,-0.85,49,0.897959183673469
"2332",2000,36,-0.85,52,0.692307692307692
"2333",2001,52,-0.85,67,0.776119402985075
"2334",2002,37,-0.85,46,0.804347826086957
"2335",2003,33,-0.85,44,0.75
"2336",2004,34,-0.85,49,0.693877551020408
"2337",2005,33,-0.85,44,0.75
"2338",2006,41,-0.85,50,0.82
"2339",2007,45,-0.85,65,0.692307692307692
"2340",2008,47,-0.85,53,0.886792452830189
"2341",2009,30,-0.85,48,0.625
"2342",2010,35,-0.85,51,0.686274509803922
"2343",2011,32,-0.85,58,0.551724137931034
"2344",2012,44,-0.85,56,0.785714285714286
"2345",2013,37,-0.85,57,0.649122807017544
"2346",2014,35,-0.85,57,0.614035087719298
"2347",2015,41,-0.85,58,0.706896551724138
"2348",2016,42,-0.85,60,0.7
"2349",2017,57,-0.85,69,0.826086956521739
"2350",2018,50,-0.85,62,0.806451612903226
"2351",1969,24,-0.825,32,0.75
"2352",1970,26,-0.825,35,0.742857142857143
"2353",1971,31,-0.825,44,0.704545454545455
"2354",1972,36,-0.825,49,0.73469387755102
"2355",1973,36,-0.825,41,0.878048780487805
"2356",1974,34,-0.825,45,0.755555555555556
"2357",1975,26,-0.825,36,0.722222222222222
"2358",1976,26,-0.825,33,0.787878787878788
"2359",1977,39,-0.825,55,0.709090909090909
"2360",1978,23,-0.825,35,0.657142857142857
"2361",1979,30,-0.825,42,0.714285714285714
"2362",1980,37,-0.825,45,0.822222222222222
"2363",1981,21,-0.825,37,0.567567567567568
"2364",1982,26,-0.825,38,0.684210526315789
"2365",1983,25,-0.825,35,0.714285714285714
"2366",1984,34,-0.825,41,0.829268292682927
"2367",1985,40,-0.825,55,0.727272727272727
"2368",1986,36,-0.825,47,0.765957446808511
"2369",1987,24,-0.825,36,0.666666666666667
"2370",1988,32,-0.825,36,0.888888888888889
"2371",1989,38,-0.825,46,0.826086956521739
"2372",1990,39,-0.825,51,0.764705882352941
"2373",1991,35,-0.825,43,0.813953488372093
"2374",1992,40,-0.825,45,0.888888888888889
"2375",1993,37,-0.825,44,0.840909090909091
"2376",1994,23,-0.825,38,0.605263157894737
"2377",1995,38,-0.825,47,0.808510638297872
"2378",1996,25,-0.825,38,0.657894736842105
"2379",1997,25,-0.825,36,0.694444444444444
"2380",1998,32,-0.825,52,0.615384615384615
"2381",1999,41,-0.825,49,0.836734693877551
"2382",2000,36,-0.825,52,0.692307692307692
"2383",2001,51,-0.825,67,0.761194029850746
"2384",2002,37,-0.825,46,0.804347826086957
"2385",2003,30,-0.825,44,0.681818181818182
"2386",2004,28,-0.825,49,0.571428571428571
"2387",2005,32,-0.825,44,0.727272727272727
"2388",2006,41,-0.825,50,0.82
"2389",2007,44,-0.825,65,0.676923076923077
"2390",2008,47,-0.825,53,0.886792452830189
"2391",2009,30,-0.825,48,0.625
"2392",2010,35,-0.825,51,0.686274509803922
"2393",2011,31,-0.825,58,0.53448275862069
"2394",2012,43,-0.825,56,0.767857142857143
"2395",2013,36,-0.825,57,0.631578947368421
"2396",2014,34,-0.825,57,0.596491228070175
"2397",2015,40,-0.825,58,0.689655172413793
"2398",2016,42,-0.825,60,0.7
"2399",2017,54,-0.825,69,0.782608695652174
"2400",2018,50,-0.825,62,0.806451612903226
"2401",1969,23,-0.8,32,0.71875
"2402",1970,26,-0.8,35,0.742857142857143
"2403",1971,31,-0.8,44,0.704545454545455
"2404",1972,35,-0.8,49,0.714285714285714
"2405",1973,36,-0.8,41,0.878048780487805
"2406",1974,34,-0.8,45,0.755555555555556
"2407",1975,26,-0.8,36,0.722222222222222
"2408",1976,26,-0.8,33,0.787878787878788
"2409",1977,39,-0.8,55,0.709090909090909
"2410",1978,23,-0.8,35,0.657142857142857
"2411",1979,30,-0.8,42,0.714285714285714
"2412",1980,37,-0.8,45,0.822222222222222
"2413",1981,20,-0.8,37,0.540540540540541
"2414",1982,26,-0.8,38,0.684210526315789
"2415",1983,23,-0.8,35,0.657142857142857
"2416",1984,34,-0.8,41,0.829268292682927
"2417",1985,40,-0.8,55,0.727272727272727
"2418",1986,34,-0.8,47,0.723404255319149
"2419",1987,24,-0.8,36,0.666666666666667
"2420",1988,29,-0.8,36,0.805555555555556
"2421",1989,38,-0.8,46,0.826086956521739
"2422",1990,38,-0.8,51,0.745098039215686
"2423",1991,34,-0.8,43,0.790697674418605
"2424",1992,40,-0.8,45,0.888888888888889
"2425",1993,37,-0.8,44,0.840909090909091
"2426",1994,23,-0.8,38,0.605263157894737
"2427",1995,38,-0.8,47,0.808510638297872
"2428",1996,25,-0.8,38,0.657894736842105
"2429",1997,25,-0.8,36,0.694444444444444
"2430",1998,32,-0.8,52,0.615384615384615
"2431",1999,41,-0.8,49,0.836734693877551
"2432",2000,36,-0.8,52,0.692307692307692
"2433",2001,51,-0.8,67,0.761194029850746
"2434",2002,37,-0.8,46,0.804347826086957
"2435",2003,30,-0.8,44,0.681818181818182
"2436",2004,28,-0.8,49,0.571428571428571
"2437",2005,32,-0.8,44,0.727272727272727
"2438",2006,37,-0.8,50,0.74
"2439",2007,44,-0.8,65,0.676923076923077
"2440",2008,47,-0.8,53,0.886792452830189
"2441",2009,30,-0.8,48,0.625
"2442",2010,34,-0.8,51,0.666666666666667
"2443",2011,31,-0.8,58,0.53448275862069
"2444",2012,42,-0.8,56,0.75
"2445",2013,36,-0.8,57,0.631578947368421
"2446",2014,34,-0.8,57,0.596491228070175
"2447",2015,40,-0.8,58,0.689655172413793
"2448",2016,42,-0.8,60,0.7
"2449",2017,54,-0.8,69,0.782608695652174
"2450",2018,50,-0.8,62,0.806451612903226
"2451",1969,23,-0.775,32,0.71875
"2452",1970,26,-0.775,35,0.742857142857143
"2453",1971,31,-0.775,44,0.704545454545455
"2454",1972,35,-0.775,49,0.714285714285714
"2455",1973,35,-0.775,41,0.853658536585366
"2456",1974,31,-0.775,45,0.688888888888889
"2457",1975,26,-0.775,36,0.722222222222222
"2458",1976,26,-0.775,33,0.787878787878788
"2459",1977,38,-0.775,55,0.690909090909091
"2460",1978,23,-0.775,35,0.657142857142857
"2461",1979,30,-0.775,42,0.714285714285714
"2462",1980,36,-0.775,45,0.8
"2463",1981,20,-0.775,37,0.540540540540541
"2464",1982,26,-0.775,38,0.684210526315789
"2465",1983,23,-0.775,35,0.657142857142857
"2466",1984,34,-0.775,41,0.829268292682927
"2467",1985,40,-0.775,55,0.727272727272727
"2468",1986,34,-0.775,47,0.723404255319149
"2469",1987,24,-0.775,36,0.666666666666667
"2470",1988,29,-0.775,36,0.805555555555556
"2471",1989,37,-0.775,46,0.804347826086957
"2472",1990,35,-0.775,51,0.686274509803922
"2473",1991,34,-0.775,43,0.790697674418605
"2474",1992,40,-0.775,45,0.888888888888889
"2475",1993,37,-0.775,44,0.840909090909091
"2476",1994,22,-0.775,38,0.578947368421053
"2477",1995,38,-0.775,47,0.808510638297872
"2478",1996,25,-0.775,38,0.657894736842105
"2479",1997,25,-0.775,36,0.694444444444444
"2480",1998,32,-0.775,52,0.615384615384615
"2481",1999,41,-0.775,49,0.836734693877551
"2482",2000,36,-0.775,52,0.692307692307692
"2483",2001,48,-0.775,67,0.716417910447761
"2484",2002,36,-0.775,46,0.782608695652174
"2485",2003,30,-0.775,44,0.681818181818182
"2486",2004,28,-0.775,49,0.571428571428571
"2487",2005,32,-0.775,44,0.727272727272727
"2488",2006,36,-0.775,50,0.72
"2489",2007,43,-0.775,65,0.661538461538462
"2490",2008,47,-0.775,53,0.886792452830189
"2491",2009,30,-0.775,48,0.625
"2492",2010,34,-0.775,51,0.666666666666667
"2493",2011,28,-0.775,58,0.482758620689655
"2494",2012,42,-0.775,56,0.75
"2495",2013,36,-0.775,57,0.631578947368421
"2496",2014,28,-0.775,57,0.491228070175439
"2497",2015,40,-0.775,58,0.689655172413793
"2498",2016,39,-0.775,60,0.65
"2499",2017,54,-0.775,69,0.782608695652174
"2500",2018,46,-0.775,62,0.741935483870968
"2501",1969,23,-0.75,32,0.71875
"2502",1970,24,-0.75,35,0.685714285714286
"2503",1971,29,-0.75,44,0.659090909090909
"2504",1972,35,-0.75,49,0.714285714285714
"2505",1973,32,-0.75,41,0.780487804878049
"2506",1974,29,-0.75,45,0.644444444444444
"2507",1975,26,-0.75,36,0.722222222222222
"2508",1976,24,-0.75,33,0.727272727272727
"2509",1977,36,-0.75,55,0.654545454545455
"2510",1978,21,-0.75,35,0.6
"2511",1979,30,-0.75,42,0.714285714285714
"2512",1980,33,-0.75,45,0.733333333333333
"2513",1981,17,-0.75,37,0.459459459459459
"2514",1982,26,-0.75,38,0.684210526315789
"2515",1983,23,-0.75,35,0.657142857142857
"2516",1984,34,-0.75,41,0.829268292682927
"2517",1985,39,-0.75,55,0.709090909090909
"2518",1986,34,-0.75,47,0.723404255319149
"2519",1987,24,-0.75,36,0.666666666666667
"2520",1988,29,-0.75,36,0.805555555555556
"2521",1989,37,-0.75,46,0.804347826086957
"2522",1990,35,-0.75,51,0.686274509803922
"2523",1991,32,-0.75,43,0.744186046511628
"2524",1992,38,-0.75,45,0.844444444444444
"2525",1993,37,-0.75,44,0.840909090909091
"2526",1994,22,-0.75,38,0.578947368421053
"2527",1995,38,-0.75,47,0.808510638297872
"2528",1996,24,-0.75,38,0.631578947368421
"2529",1997,25,-0.75,36,0.694444444444444
"2530",1998,30,-0.75,52,0.576923076923077
"2531",1999,39,-0.75,49,0.795918367346939
"2532",2000,35,-0.75,52,0.673076923076923
"2533",2001,48,-0.75,67,0.716417910447761
"2534",2002,36,-0.75,46,0.782608695652174
"2535",2003,28,-0.75,44,0.636363636363636
"2536",2004,28,-0.75,49,0.571428571428571
"2537",2005,32,-0.75,44,0.727272727272727
"2538",2006,36,-0.75,50,0.72
"2539",2007,40,-0.75,65,0.615384615384615
"2540",2008,47,-0.75,53,0.886792452830189
"2541",2009,30,-0.75,48,0.625
"2542",2010,34,-0.75,51,0.666666666666667
"2543",2011,27,-0.75,58,0.46551724137931
"2544",2012,40,-0.75,56,0.714285714285714
"2545",2013,33,-0.75,57,0.578947368421053
"2546",2014,27,-0.75,57,0.473684210526316
"2547",2015,34,-0.75,58,0.586206896551724
"2548",2016,39,-0.75,60,0.65
"2549",2017,51,-0.75,69,0.739130434782609
"2550",2018,46,-0.75,62,0.741935483870968
"2551",1969,23,-0.725,32,0.71875
"2552",1970,24,-0.725,35,0.685714285714286
"2553",1971,28,-0.725,44,0.636363636363636
"2554",1972,33,-0.725,49,0.673469387755102
"2555",1973,32,-0.725,41,0.780487804878049
"2556",1974,29,-0.725,45,0.644444444444444
"2557",1975,26,-0.725,36,0.722222222222222
"2558",1976,24,-0.725,33,0.727272727272727
"2559",1977,36,-0.725,55,0.654545454545455
"2560",1978,21,-0.725,35,0.6
"2561",1979,30,-0.725,42,0.714285714285714
"2562",1980,33,-0.725,45,0.733333333333333
"2563",1981,17,-0.725,37,0.459459459459459
"2564",1982,24,-0.725,38,0.631578947368421
"2565",1983,21,-0.725,35,0.6
"2566",1984,32,-0.725,41,0.780487804878049
"2567",1985,38,-0.725,55,0.690909090909091
"2568",1986,33,-0.725,47,0.702127659574468
"2569",1987,23,-0.725,36,0.638888888888889
"2570",1988,26,-0.725,36,0.722222222222222
"2571",1989,37,-0.725,46,0.804347826086957
"2572",1990,34,-0.725,51,0.666666666666667
"2573",1991,32,-0.725,43,0.744186046511628
"2574",1992,37,-0.725,45,0.822222222222222
"2575",1993,37,-0.725,44,0.840909090909091
"2576",1994,22,-0.725,38,0.578947368421053
"2577",1995,38,-0.725,47,0.808510638297872
"2578",1996,24,-0.725,38,0.631578947368421
"2579",1997,24,-0.725,36,0.666666666666667
"2580",1998,30,-0.725,52,0.576923076923077
"2581",1999,39,-0.725,49,0.795918367346939
"2582",2000,34,-0.725,52,0.653846153846154
"2583",2001,48,-0.725,67,0.716417910447761
"2584",2002,36,-0.725,46,0.782608695652174
"2585",2003,28,-0.725,44,0.636363636363636
"2586",2004,27,-0.725,49,0.551020408163265
"2587",2005,28,-0.725,44,0.636363636363636
"2588",2006,33,-0.725,50,0.66
"2589",2007,40,-0.725,65,0.615384615384615
"2590",2008,41,-0.725,53,0.773584905660377
"2591",2009,24,-0.725,48,0.5
"2592",2010,34,-0.725,51,0.666666666666667
"2593",2011,27,-0.725,58,0.46551724137931
"2594",2012,40,-0.725,56,0.714285714285714
"2595",2013,33,-0.725,57,0.578947368421053
"2596",2014,27,-0.725,57,0.473684210526316
"2597",2015,33,-0.725,58,0.568965517241379
"2598",2016,39,-0.725,60,0.65
"2599",2017,51,-0.725,69,0.739130434782609
"2600",2018,46,-0.725,62,0.741935483870968
"2601",1969,23,-0.7,32,0.71875
"2602",1970,24,-0.7,35,0.685714285714286
"2603",1971,28,-0.7,44,0.636363636363636
"2604",1972,33,-0.7,49,0.673469387755102
"2605",1973,32,-0.7,41,0.780487804878049
"2606",1974,29,-0.7,45,0.644444444444444
"2607",1975,25,-0.7,36,0.694444444444444
"2608",1976,23,-0.7,33,0.696969696969697
"2609",1977,34,-0.7,55,0.618181818181818
"2610",1978,20,-0.7,35,0.571428571428571
"2611",1979,30,-0.7,42,0.714285714285714
"2612",1980,33,-0.7,45,0.733333333333333
"2613",1981,17,-0.7,37,0.459459459459459
"2614",1982,24,-0.7,38,0.631578947368421
"2615",1983,21,-0.7,35,0.6
"2616",1984,32,-0.7,41,0.780487804878049
"2617",1985,38,-0.7,55,0.690909090909091
"2618",1986,33,-0.7,47,0.702127659574468
"2619",1987,21,-0.7,36,0.583333333333333
"2620",1988,26,-0.7,36,0.722222222222222
"2621",1989,33,-0.7,46,0.717391304347826
"2622",1990,34,-0.7,51,0.666666666666667
"2623",1991,30,-0.7,43,0.697674418604651
"2624",1992,37,-0.7,45,0.822222222222222
"2625",1993,37,-0.7,44,0.840909090909091
"2626",1994,21,-0.7,38,0.552631578947368
"2627",1995,38,-0.7,47,0.808510638297872
"2628",1996,24,-0.7,38,0.631578947368421
"2629",1997,24,-0.7,36,0.666666666666667
"2630",1998,30,-0.7,52,0.576923076923077
"2631",1999,39,-0.7,49,0.795918367346939
"2632",2000,34,-0.7,52,0.653846153846154
"2633",2001,48,-0.7,67,0.716417910447761
"2634",2002,36,-0.7,46,0.782608695652174
"2635",2003,28,-0.7,44,0.636363636363636
"2636",2004,27,-0.7,49,0.551020408163265
"2637",2005,28,-0.7,44,0.636363636363636
"2638",2006,32,-0.7,50,0.64
"2639",2007,40,-0.7,65,0.615384615384615
"2640",2008,41,-0.7,53,0.773584905660377
"2641",2009,24,-0.7,48,0.5
"2642",2010,29,-0.7,51,0.568627450980392
"2643",2011,27,-0.7,58,0.46551724137931
"2644",2012,40,-0.7,56,0.714285714285714
"2645",2013,33,-0.7,57,0.578947368421053
"2646",2014,25,-0.7,57,0.43859649122807
"2647",2015,33,-0.7,58,0.568965517241379
"2648",2016,39,-0.7,60,0.65
"2649",2017,51,-0.7,69,0.739130434782609
"2650",2018,44,-0.7,62,0.709677419354839
"2651",1969,23,-0.675,32,0.71875
"2652",1970,23,-0.675,35,0.657142857142857
"2653",1971,28,-0.675,44,0.636363636363636
"2654",1972,33,-0.675,49,0.673469387755102
"2655",1973,32,-0.675,41,0.780487804878049
"2656",1974,27,-0.675,45,0.6
"2657",1975,21,-0.675,36,0.583333333333333
"2658",1976,21,-0.675,33,0.636363636363636
"2659",1977,34,-0.675,55,0.618181818181818
"2660",1978,20,-0.675,35,0.571428571428571
"2661",1979,30,-0.675,42,0.714285714285714
"2662",1980,32,-0.675,45,0.711111111111111
"2663",1981,17,-0.675,37,0.459459459459459
"2664",1982,24,-0.675,38,0.631578947368421
"2665",1983,21,-0.675,35,0.6
"2666",1984,32,-0.675,41,0.780487804878049
"2667",1985,38,-0.675,55,0.690909090909091
"2668",1986,33,-0.675,47,0.702127659574468
"2669",1987,21,-0.675,36,0.583333333333333
"2670",1988,26,-0.675,36,0.722222222222222
"2671",1989,33,-0.675,46,0.717391304347826
"2672",1990,33,-0.675,51,0.647058823529412
"2673",1991,28,-0.675,43,0.651162790697674
"2674",1992,37,-0.675,45,0.822222222222222
"2675",1993,35,-0.675,44,0.795454545454545
"2676",1994,21,-0.675,38,0.552631578947368
"2677",1995,36,-0.675,47,0.765957446808511
"2678",1996,24,-0.675,38,0.631578947368421
"2679",1997,24,-0.675,36,0.666666666666667
"2680",1998,30,-0.675,52,0.576923076923077
"2681",1999,39,-0.675,49,0.795918367346939
"2682",2000,34,-0.675,52,0.653846153846154
"2683",2001,48,-0.675,67,0.716417910447761
"2684",2002,32,-0.675,46,0.695652173913043
"2685",2003,28,-0.675,44,0.636363636363636
"2686",2004,27,-0.675,49,0.551020408163265
"2687",2005,28,-0.675,44,0.636363636363636
"2688",2006,32,-0.675,50,0.64
"2689",2007,40,-0.675,65,0.615384615384615
"2690",2008,41,-0.675,53,0.773584905660377
"2691",2009,24,-0.675,48,0.5
"2692",2010,29,-0.675,51,0.568627450980392
"2693",2011,24,-0.675,58,0.413793103448276
"2694",2012,39,-0.675,56,0.696428571428571
"2695",2013,33,-0.675,57,0.578947368421053
"2696",2014,25,-0.675,57,0.43859649122807
"2697",2015,31,-0.675,58,0.53448275862069
"2698",2016,37,-0.675,60,0.616666666666667
"2699",2017,48,-0.675,69,0.695652173913043
"2700",2018,43,-0.675,62,0.693548387096774
"2701",1969,23,-0.65,32,0.71875
"2702",1970,23,-0.65,35,0.657142857142857
"2703",1971,25,-0.65,44,0.568181818181818
"2704",1972,33,-0.65,49,0.673469387755102
"2705",1973,32,-0.65,41,0.780487804878049
"2706",1974,27,-0.65,45,0.6
"2707",1975,21,-0.65,36,0.583333333333333
"2708",1976,21,-0.65,33,0.636363636363636
"2709",1977,32,-0.65,55,0.581818181818182
"2710",1978,20,-0.65,35,0.571428571428571
"2711",1979,25,-0.65,42,0.595238095238095
"2712",1980,30,-0.65,45,0.666666666666667
"2713",1981,17,-0.65,37,0.459459459459459
"2714",1982,22,-0.65,38,0.578947368421053
"2715",1983,21,-0.65,35,0.6
"2716",1984,28,-0.65,41,0.682926829268293
"2717",1985,38,-0.65,55,0.690909090909091
"2718",1986,33,-0.65,47,0.702127659574468
"2719",1987,21,-0.65,36,0.583333333333333
"2720",1988,25,-0.65,36,0.694444444444444
"2721",1989,33,-0.65,46,0.717391304347826
"2722",1990,32,-0.65,51,0.627450980392157
"2723",1991,28,-0.65,43,0.651162790697674
"2724",1992,35,-0.65,45,0.777777777777778
"2725",1993,35,-0.65,44,0.795454545454545
"2726",1994,21,-0.65,38,0.552631578947368
"2727",1995,36,-0.65,47,0.765957446808511
"2728",1996,24,-0.65,38,0.631578947368421
"2729",1997,24,-0.65,36,0.666666666666667
"2730",1998,27,-0.65,52,0.519230769230769
"2731",1999,39,-0.65,49,0.795918367346939
"2732",2000,30,-0.65,52,0.576923076923077
"2733",2001,48,-0.65,67,0.716417910447761
"2734",2002,32,-0.65,46,0.695652173913043
"2735",2003,23,-0.65,44,0.522727272727273
"2736",2004,26,-0.65,49,0.530612244897959
"2737",2005,23,-0.65,44,0.522727272727273
"2738",2006,30,-0.65,50,0.6
"2739",2007,38,-0.65,65,0.584615384615385
"2740",2008,35,-0.65,53,0.660377358490566
"2741",2009,23,-0.65,48,0.479166666666667
"2742",2010,29,-0.65,51,0.568627450980392
"2743",2011,24,-0.65,58,0.413793103448276
"2744",2012,37,-0.65,56,0.660714285714286
"2745",2013,32,-0.65,57,0.56140350877193
"2746",2014,24,-0.65,57,0.421052631578947
"2747",2015,31,-0.65,58,0.53448275862069
"2748",2016,37,-0.65,60,0.616666666666667
"2749",2017,47,-0.65,69,0.681159420289855
"2750",2018,43,-0.65,62,0.693548387096774
"2751",1969,23,-0.625,32,0.71875
"2752",1970,22,-0.625,35,0.628571428571429
"2753",1971,25,-0.625,44,0.568181818181818
"2754",1972,33,-0.625,49,0.673469387755102
"2755",1973,32,-0.625,41,0.780487804878049
"2756",1974,27,-0.625,45,0.6
"2757",1975,21,-0.625,36,0.583333333333333
"2758",1976,21,-0.625,33,0.636363636363636
"2759",1977,32,-0.625,55,0.581818181818182
"2760",1978,20,-0.625,35,0.571428571428571
"2761",1979,25,-0.625,42,0.595238095238095
"2762",1980,30,-0.625,45,0.666666666666667
"2763",1981,14,-0.625,37,0.378378378378378
"2764",1982,22,-0.625,38,0.578947368421053
"2765",1983,21,-0.625,35,0.6
"2766",1984,28,-0.625,41,0.682926829268293
"2767",1985,35,-0.625,55,0.636363636363636
"2768",1986,33,-0.625,47,0.702127659574468
"2769",1987,19,-0.625,36,0.527777777777778
"2770",1988,23,-0.625,36,0.638888888888889
"2771",1989,33,-0.625,46,0.717391304347826
"2772",1990,32,-0.625,51,0.627450980392157
"2773",1991,28,-0.625,43,0.651162790697674
"2774",1992,35,-0.625,45,0.777777777777778
"2775",1993,34,-0.625,44,0.772727272727273
"2776",1994,21,-0.625,38,0.552631578947368
"2777",1995,36,-0.625,47,0.765957446808511
"2778",1996,24,-0.625,38,0.631578947368421
"2779",1997,24,-0.625,36,0.666666666666667
"2780",1998,27,-0.625,52,0.519230769230769
"2781",1999,39,-0.625,49,0.795918367346939
"2782",2000,30,-0.625,52,0.576923076923077
"2783",2001,48,-0.625,67,0.716417910447761
"2784",2002,32,-0.625,46,0.695652173913043
"2785",2003,23,-0.625,44,0.522727272727273
"2786",2004,26,-0.625,49,0.530612244897959
"2787",2005,23,-0.625,44,0.522727272727273
"2788",2006,29,-0.625,50,0.58
"2789",2007,35,-0.625,65,0.538461538461538
"2790",2008,34,-0.625,53,0.641509433962264
"2791",2009,20,-0.625,48,0.416666666666667
"2792",2010,29,-0.625,51,0.568627450980392
"2793",2011,24,-0.625,58,0.413793103448276
"2794",2012,37,-0.625,56,0.660714285714286
"2795",2013,32,-0.625,57,0.56140350877193
"2796",2014,24,-0.625,57,0.421052631578947
"2797",2015,31,-0.625,58,0.53448275862069
"2798",2016,37,-0.625,60,0.616666666666667
"2799",2017,47,-0.625,69,0.681159420289855
"2800",2018,42,-0.625,62,0.67741935483871
"2801",1969,23,-0.6,32,0.71875
"2802",1970,22,-0.6,35,0.628571428571429
"2803",1971,25,-0.6,44,0.568181818181818
"2804",1972,33,-0.6,49,0.673469387755102
"2805",1973,30,-0.6,41,0.731707317073171
"2806",1974,26,-0.6,45,0.577777777777778
"2807",1975,21,-0.6,36,0.583333333333333
"2808",1976,20,-0.6,33,0.606060606060606
"2809",1977,32,-0.6,55,0.581818181818182
"2810",1978,20,-0.6,35,0.571428571428571
"2811",1979,25,-0.6,42,0.595238095238095
"2812",1980,30,-0.6,45,0.666666666666667
"2813",1981,14,-0.6,37,0.378378378378378
"2814",1982,22,-0.6,38,0.578947368421053
"2815",1983,21,-0.6,35,0.6
"2816",1984,28,-0.6,41,0.682926829268293
"2817",1985,35,-0.6,55,0.636363636363636
"2818",1986,33,-0.6,47,0.702127659574468
"2819",1987,19,-0.6,36,0.527777777777778
"2820",1988,23,-0.6,36,0.638888888888889
"2821",1989,30,-0.6,46,0.652173913043478
"2822",1990,32,-0.6,51,0.627450980392157
"2823",1991,27,-0.6,43,0.627906976744186
