Rk,Year,Tm,Lg,#Matching,,
27,1974,,,80,Jack Aker / Felipe Alou / Matty Alou / Dwain Anderson / Steve Arlin / Frank Baker / Steve Barber / Bob Barton / Steve Blass / John Boccabella / Pat Bourque / .....,
28,1993,,,77,Juan Agosto / Wally Backman / Steve Balboni / Eric Bell / George Bell / Lance Blankenship / George Brett / Rod Brewer / Greg Briley / Todd Burns / Randy Bush / .....,
29,1977,,,76,Santo Alcala / Dick Allen / Luis Alvarado / Bob Apodaca / Ed Armbrister / Rick Baldwin / Mike Beard / Ken Boswell / Jackie Brown / Ollie Brown / Buzz Capra / .....,
30,1986,,,75,Dusty Baker / Joe Beckwith / Bruce Berenyi / Vida Blue / Bruce Bochte / Barry Bonnell / Enos Cabell / Cesar Cedeno / Tim Corcoran / Al Cowens / Rod Craig / .....,
31,1985,,,75,Willie Aikens / Gary Allenson / Benny Ayala / Bob Bailor / Alan Bannister / Kurt Bevacqua / Larry Bowa / Steve Braun / Tom Brennan / Mark Brouhard / Bobby Brown / .....,
32,1987,,,72,Dale Berra / Buddy Biancalana / Bruce Bochy / Juan Bonilla / Rick Burleson / Bill Campbell / Ron Cey / Onix Concepcion / Tim Conroy / Cecil Cooper / Joe Cowley / .....,
33,1997,,,71,Eric Anthony / René Arocha / Roger Bailey / Jose Bautista / Damon Berryhill / Mike Bielecki / Mark Brandenburg / Terry Burrows / Brett Butler / Casey Candaele / Chuck Carr / .....,
34,1996,,,70,Mike Aldrete / Rich Aude / Bret Barberie / Shawn Barton / Kim Batiste / Esteban Beltre / Joe Boever / John Briscoe / Scott Bullett / Mike Campbell / Mark Carreon / .....,
35,1994,,,69,Larry Andersen / Jeff Ballard / Brian Barnes / Skeeter Barnes / Freddie Benavides / Daryl Boston / Denis Boucher / Sid Bream / Hubie Brooks / Tom Brunansky / Scott Coolbaugh / .....,
36,1992,,,68,Shawn Abner / Jim Acker / Dave Anderson / Oscar Azocar / Mark Bailey / Jay Baller / Floyd Bannister / Jesse Barfield / Juan Berenguer / Dave Bergman / Dann Bilardello / .....,
37,1988,,,68,Bill Almon / Joaquin Andujar / Salome Barojas / Don Baylor / Juan Beniquez / Mike Brown / Sal Butera / Jeff Calhoun / Chris Chambliss / Rocky Childress / John Christensen / .....,
38,1980,,,68,Dell Alston / Doug Ault / Bob Beall / Dennis Blair / Paul Blair / Larvell Blanks / Bill Bonham / Pedro Borbon / Glenn Borgmann / Jack Brohamer / Joe Cannon / .....,
39,1982,,,67,Glenn Adams / Stan Bahnsen / Randy Bass / Ross Baumgarten / Mark Belanger / Kevin Bell / Rick Bosetti / Dan Briggs / Joe Charboneau / Larry Cox / Hector Cruz / .....,
40,1969,,,67,Ruben Amaro / Gary Bell / John Boozer / Don Bosch / Sam Bowens / Ken Boyer / Doug Camilli / Bob Chance / Ed Charles / Galen Cisco / Chuck Cottier / .....,
41,1991,,,66,Darrel Akerfelds / Allan Anderson / Marty Barrett / Tony Bernazard / Rod Booker / Oil Can Boyd / Greg Brock / Sil Campusano / Carmelo Castillo / Jim Clancy / John Costello / .....,
42,1989,,,64,Luis Aguayo / Jose Alvarez / Tony Armas / Alan Ashby / Chris Bando / Billy Beane / Buddy Bell / Bruce Benedict / Terry Blocker / Mickey Brantley / Bob Brenly / .....,
43,1975,,,64,Cy Acosta / Glenn Beckert / Fred Beene / Ken Berry / Dick Billings / Tom Bradley / Hal Breeden / John Briggs / Ed Brinkman / Gates Brown / Ron Bryant / .....,
44,1984,,,62,Glenn Abbott / Porfi Altamirano / Jim Anderson / Tucker Ashford / Fred Breining / Tony Brizzolara / Darrell Brown / John Castino / Floyd Chiffer / Todd Cruz / Bucky Dent / .....,
45,1973,,,62,Tommie Agee / Bernie Allen / Hank Allen / Gene Alley / Mike Andrews / Luis Aparicio / Jim Beauchamp / Bucky Brandon / Bobby Brooks / Oscar Brown / Johnny Callison / .....,
46,1983,,,61,Steve Baker / Jim Barr / Johnny Bench / Larry Biittner / Tim Blackwell / Bud Bulling / Bert Campaneris / Manny Castillo / Larry Christenson / Mike Chris / Terry Crowley / .....,
47,1979,,,58,Jesus Alou / Mike Anderson / Rob Andrews / Bill Atkinson / Juan Bernhardt / Bruce Boisclair / Lou Brock / Tom Bruno / Glenn Burke / Rico Carty / Darrel Chaney / .....,
48,1981,,,56,Danny Ainge / Gary Alexander / Matt Alexander / Brian Asselstine / Rick Auerbach / Ramon Aviles / Sal Bando / Bobby Bonds / Larry Bradford / Doug Capilla / Dave Chalk / .....,
49,1978,,,55,Sandy Alomar / Jose Baez / Bob Bailey / Rob Belloir / Ron Blomberg / Lyman Bostock / Jim Bouton / Steve Brye / Dave Campbell / Clay Carroll / Mike Champion / .....,
50,1976,,,54,Hank Aaron / Vic Albury / Chris Arnold / Eddie Bane / Buddy Bradford / Rich Coggins / Nate Colbert / Mike Cosgrove / Jim Cox / Ed Crosby / Pat Darcy / .....,
