"WAR","Year","above_threshold"
-0.3,1975,FALSE
-0.3,1974,FALSE
-0.3,1973,FALSE
-0.3,1973,FALSE
-0.3,1972,FALSE
-0.3,1971,FALSE
-0.3,1971,FALSE
-0.3,1970,FALSE
-0.3,1970,FALSE
-0.3,1970,FALSE
-0.3,1969,FALSE
-0.4,1973,FALSE
-0.4,1973,FALSE
-0.4,1972,FALSE
-0.4,1971,FALSE
-0.4,1971,FALSE
-0.4,1970,FALSE
-0.4,1969,FALSE
-0.4,1969,FALSE
-0.4,1969,FALSE
-0.5,1975,FALSE
-0.5,1975,FALSE
-0.5,1974,FALSE
-0.5,1974,FALSE
-0.5,1974,FALSE
-0.5,1972,FALSE
-0.5,1971,FALSE
-0.5,1971,FALSE
-0.5,1970,FALSE
-0.5,1970,FALSE
-0.5,1969,FALSE
-0.5,1969,FALSE
-0.6,1973,FALSE
-0.6,1973,FALSE
-0.6,1972,FALSE
-0.6,1972,FALSE
-0.6,1972,FALSE
-0.6,1971,FALSE
-0.6,1971,FALSE
-0.6,1970,FALSE
-0.6,1969,FALSE
-0.7,1975,FALSE
-0.7,1975,FALSE
-0.7,1975,FALSE
-0.7,1975,FALSE
-0.7,1974,FALSE
-0.7,1974,FALSE
-0.7,1971,FALSE
-0.7,1970,FALSE
-0.7,1969,FALSE
-0.8,1974,FALSE
-0.8,1974,FALSE
-0.8,1973,FALSE
-0.8,1973,FALSE
-0.8,1973,FALSE
-0.8,1972,FALSE
-0.8,1972,FALSE
-0.8,1970,FALSE
-0.9,1972,FALSE
-0.9,1971,FALSE
-0.9,1970,FALSE
-1,1974,FALSE
-1,1972,FALSE
-1,1971,FALSE
-1,1970,FALSE
-1.1,1974,FALSE
-1.1,1972,FALSE
-1.1,1972,FALSE
-1.1,1970,FALSE
-1.2,1973,FALSE
-1.3,1972,FALSE
-1.3,1971,FALSE
-1.3,1971,FALSE
-1.5,1971,FALSE
-1.6,1974,FALSE
-1.6,1973,FALSE
-1.6,1970,FALSE
-1.7,1971,FALSE
-2.1,1970,FALSE
2.8,1978,TRUE
2.6,1977,TRUE
2.4,1979,TRUE
1.8,1980,TRUE
1.7,1980,TRUE
1.1,1980,TRUE
1,1977,TRUE
0.9,1979,TRUE
0.8,1976,TRUE
0.7,1980,TRUE
0.7,1979,TRUE
0.7,1978,TRUE
0.6,1980,TRUE
0.6,1980,TRUE
0.5,1979,TRUE
0.5,1976,TRUE
0.4,1979,TRUE
0.4,1976,TRUE
0.3,1980,TRUE
0.3,1979,TRUE
0.3,1979,TRUE
0.3,1977,TRUE
0.2,1979,TRUE
0.2,1979,TRUE
0.2,1979,TRUE
0.2,1978,TRUE
0.2,1978,TRUE
0.2,1977,FALSE
0.2,1977,FALSE
0.1,1977,FALSE
0.1,1977,FALSE
0.1,1976,FALSE
