"coef_int","coef_yr","era","threshold","diff"
1.00768940908105,-1.07076606005065e-05,"pre",-2,-1.07076606005065e-05
-0.686714623065558,0.000832001070172085,"post",-2,0.000832001070172085
1.00768940908105,-1.07076606005065e-05,"pre",-1.975,-1.07076606005065e-05
-0.5941856547562,0.000784418586110477,"post",-1.975,0.000784418586110477
0.735313792167626,0.000125710543044585,"pre",-1.95,0.000125710543044585
-0.5941856547562,0.000784418586110477,"post",-1.95,0.000784418586110477
0.529486425659161,0.000228185258522389,"pre",-1.925,0.000228185258522389
0.0118510327823934,0.000481996267857834,"post",-1.925,0.000481996267857834
0.495748337122301,0.000244451007971368,"pre",-1.9,0.000244451007971368
0.584655286062652,0.000195434274639494,"post",-1.9,0.000195434274639494
0.395100077818584,0.000294520622594074,"pre",-1.875,0.000294520622594074
0.28959965383909,0.00034098369675438,"post",-1.875,0.00034098369675438
0.607461141955284,0.000186472900268441,"pre",-1.85,0.000186472900268441
0.230401268602643,0.00036981876019152,"post",-1.85,0.00036981876019152
0.800458340834821,8.88580967712922e-05,"pre",-1.825,8.88580967712922e-05
1.00516907046021,-1.71781438332379e-05,"post",-1.825,-1.71781438332379e-05
0.611856354585764,0.000183309100313211,"pre",-1.8,0.000183309100313211
0.725063632058442,0.000121556595345447,"post",-1.8,0.000121556595345447
0.490975741585492,0.000243216334018422,"pre",-1.775,0.000243216334018422
0.725063632058442,0.000121556595345447,"post",-1.775,0.000121556595345447
0.411404863169957,0.000282541201554411,"pre",-1.75,0.000282541201554411
0.961835223638232,2.86028739082024e-06,"post",-1.75,2.86028739082024e-06
0.413239918870553,0.000280572200349355,"pre",-1.725,0.000280572200349355
0.961835223638232,2.86028739082024e-06,"post",-1.725,2.86028739082024e-06
0.0448702333340097,0.000465463157913014,"pre",-1.7,0.000465463157913014
0.961835223638232,2.86028739082024e-06,"post",-1.7,2.86028739082024e-06
0.367738716493249,0.00030141573313063,"pre",-1.675,0.00030141573313063
1.0344307347062,-3.48561485088623e-05,"post",-1.675,-3.48561485088623e-05
0.293153206613627,0.000338580476177723,"pre",-1.65,0.000338580476177723
0.789751362957489,8.56920707788572e-05,"post",-1.65,8.56920707788572e-05
0.170688788222164,0.000398947627551486,"pre",-1.625,0.000398947627551486
0.789751362957489,8.56920707788572e-05,"post",-1.625,8.56920707788572e-05
-0.406216714566972,0.00068754321878141,"pre",-1.6,0.00068754321878141
-0.219606925812572,0.000587028969174583,"post",-1.6,0.000587028969174583
-0.312066029174498,0.000639320600482342,"pre",-1.575,0.000639320600482342
-0.35501670678178,0.00065215619063171,"post",-1.575,0.00065215619063171
-0.317142027472291,0.000640760655278568,"pre",-1.55,0.000640760655278568
-2.17106462594943,0.00155301653476936,"post",-1.55,0.00155301653476936
-0.546765207869448,0.000753460289509294,"pre",-1.525,0.000753460289509294
-2.98136536600342,0.00195418952859397,"post",-1.525,0.00195418952859397
-0.51237296126828,0.000735104705128667,"pre",-1.5,0.000735104705128667
-0.845249014186687,0.000888055853199311,"post",-1.5,0.000888055853199311
-0.895662939566642,0.00092503007860628,"pre",-1.475,0.00092503007860628
-0.781846799852683,0.000853192770035013,"post",-1.475,0.000853192770035013
-0.760547092228061,0.000855489247770901,"pre",-1.45,0.000855489247770901
1.2155788255699,-0.000142412368572156,"post",-1.45,-0.000142412368572156
-1.24986145433655,0.00110102134490728,"pre",-1.425,0.00110102134490728
1.69934912745928,-0.000386227060276493,"post",-1.425,-0.000386227060276493
-0.832641961513353,0.000888989120491161,"pre",-1.4,0.000888989120491161
1.4829005376859,-0.000280653818513999,"post",-1.4,-0.000280653818513999
-0.68530319983548,0.00081232596339644,"pre",-1.375,0.00081232596339644
1.53982582095711,-0.000313061518436079,"post",-1.375,-0.000313061518436079
-0.857589837008169,0.000897283937891613,"pre",-1.35,0.000897283937891613
2.81723854648289,-0.000950049525980291,"post",-1.35,-0.000950049525980291
-0.817120521076666,0.000875167865355371,"pre",-1.325,0.000875167865355371
2.85611593567382,-0.000971160911711034,"post",-1.325,-0.000971160911711034
-0.699319731923851,0.00081430218138378,"pre",-1.3,0.00081430218138378
-0.0892661944509439,0.000491071708609813,"post",-1.3,0.000491071708609813
-1.22213391636318,0.00107404436756841,"pre",-1.275,0.00107404436756841
-1.19644963007277,0.0010369777137143,"post",-1.275,0.0010369777137143
-1.3030488151753,0.00111093214671796,"pre",-1.25,0.00111093214671796
-1.64501733718819,0.00125444914690756,"post",-1.25,0.00125444914690756
-1.13490126938493,0.00102433373244623,"pre",-1.225,0.00102433373244623
-2.17845851365878,0.0015191550292605,"post",-1.225,0.0015191550292605
-1.78434142020478,0.00134785275069049,"pre",-1.2,0.00134785275069049
-1.76437206089585,0.00130970761393073,"post",-1.2,0.00130970761393073
