"coef_int","coef_yr","era","threshold"
-2.00754169313052,0.00148098468288445,"pre",-1.5
1.24017366906479,-0.000160803337169336,"post",-1.5
-1.43637806220594,0.00119146482971305,"pre",-1.47
1.25405487609895,-0.000171037426311408,"post",-1.47
-1.31585852810869,0.00112695067191675,"pre",-1.44
0.818728524001769,4.25267011651467e-05,"post",-1.44
-1.17481297919004,0.00105455697279577,"pre",-1.41
1.24022701828352,-0.000174000901778854,"post",-1.41
-0.826915915816127,0.000875202123560477,"pre",-1.38
-0.538958344531607,0.000706813882624143,"post",-1.38
-1.08798096048304,0.00100081945036175,"pre",-1.35
-2.19783311588755,0.00152776468701138,"post",-1.35
0.0770020471521173,0.000406817572195686,"pre",-1.32
-3.53335819737105,0.00218492879786863,"post",-1.32
0.653580483947132,0.000112615234055754,"pre",-1.29
-3.48774446518611,0.00215667801117966,"post",-1.29
1.13646572172388,-0.000136642027757011,"pre",-1.26
-3.8614606387291,0.0023378671196831,"post",-1.26
1.29521134280342,-0.000223636748360388,"pre",-1.23
-2.48517919709996,0.00164660785908714,"post",-1.23
1.22005463086176,-0.000189494511677451,"pre",-1.2
-3.67213264157936,0.00223444994779428,"post",-1.2
1.31064304315963,-0.000240600306697237,"pre",-1.17
1.46068672265717,-0.000330070298569,"post",-1.17
1.58996665130388,-0.000389074012433314,"pre",-1.14
1.32414264322075,-0.000268398237651195,"post",-1.14
0.72736388118386,3.95008562057728e-05,"pre",-1.11
2.36035118773747,-0.000787660232951144,"post",-1.11
0.905344455576555,-5.42351024755103e-05,"pre",-1.08
-1.1826202690536,0.000964591882745043,"post",-1.08
1.33724281465234,-0.000279362002134961,"pre",-1.05
-3.43961021864723,0.00208172006742344,"post",-1.05
2.21422705538,-0.000727328706894694,"pre",-1.02
-0.143619881421147,0.000428431347159692,"post",-1.02
1.05622013577742,-0.00015545334887003,"pre",-0.99
2.40262376814573,-0.000846121744445836,"post",-0.99
-0.182567825388803,0.000460980424591986,"pre",-0.96
-1.03805908967808,0.000855182590063221,"post",-0.96
-0.455585765449642,0.000589091785776798,"pre",-0.93
2.61272871152046,-0.000973264403940514,"post",-0.93
-1.70163080339907,0.00120664252720531,"pre",-0.9
2.68864192504635,-0.00101519649935933,"post",-0.9
-2.26865177672395,0.00148604237424651,"pre",-0.87
-0.113357866316235,0.000363122105024026,"post",-0.87
-2.72219724619582,0.00170527897889747,"pre",-0.84
0.518154362700238,3.83361007472074e-05,"post",-0.84
-1.81505949072194,0.00123541218165497,"pre",-0.81
-4.55455953379713,0.00254956678061321,"post",-0.81
-2.16185837856338,0.00140326905599312,"pre",-0.78
-3.99094017161503,0.00226018424400752,"post",-0.78
-1.97909462455013,0.00130298669497394,"pre",-0.75
-5.42547472217487,0.00295824660402228,"post",-0.75
-2.2008194805007,0.00140269746716678,"pre",-0.72
-6.13911321661821,0.00330498503464435,"post",-0.72
-4.37354841245626,0.00248458906513452,"pre",-0.69
-0.867795615110444,0.000662532115452776,"post",-0.69
-2.90244067457754,0.00173475205796083,"pre",-0.66
-6.73620835970396,0.00357210410005683,"post",-0.66
-1.8606856476286,0.00120021267931317,"pre",-0.63
-6.782708562431,0.00358154624485936,"post",-0.63
-4.03112095401102,0.00228017869584996,"pre",-0.6
-3.98749934405332,0.002178036230089,"post",-0.6
-4.09052789581391,0.00229982191802875,"pre",-0.57
-7.94156411506661,0.00414006317373359,"post",-0.57
-3.24718430952979,0.00186191428050403,"pre",-0.54
-2.73771593983979,0.00153726229437045,"post",-0.54
-4.02228387218134,0.0022422895438716,"pre",-0.51
2.52205632965745,-0.00108869403979266,"post",-0.51
-3.15814855728136,0.00179905475409187,"pre",-0.48
-0.828499919623527,0.000571251520626403,"post",-0.48
-5.0679525467858,0.00274885349777836,"pre",-0.45
3.25567849575215,-0.00147374541208203,"post",-0.45
-4.69158722127936,0.00254778106255903,"pre",-0.42
4.45039229887382,-0.00207125286965356,"post",-0.42
-7.99444815047613,0.00420076970168642,"pre",-0.39
3.37133353022224,-0.00154562599275967,"post",-0.39
-8.31359413753272,0.00435482557392643,"pre",-0.36
5.97321617068684,-0.00284355751207529,"post",-0.36
-9.25885337279689,0.00482333223891373,"pre",-0.33
3.20758703109998,-0.00147341893940484,"post",-0.33
-11.284146532928,0.00583001462917157,"pre",-0.3
3.70362132009391,-0.001733657187167,"post",-0.3
-11.2247382744064,0.00579227228151337,"pre",-0.27
1.98148445398281,-0.0008818118594591,"post",-0.27
-11.7449990822495,0.00604321431389934,"pre",-0.24
0.601065717105628,-0.000200642211513491,"post",-0.24
-11.3499186617722,0.00583775338809155,"pre",-0.21
-1.095371491738,0.0006327582132319,"post",-0.21
-11.0894573500104,0.00569806050323222,"pre",-0.18
-0.637663580987491,0.00040456348706557,"post",-0.18
-10.7474280789283,0.00551912179343394,"pre",-0.15
0.718416244527668,-0.000274833507697349,"post",-0.15
-10.67876758269,0.0054775909148985,"pre",-0.12
-1.10979897927913,0.000626927469717708,"post",-0.12
-10.29675441975,0.0052797217068874,"pre",-0.0900000000000001
-0.345597742610945,0.000245785023862839,"post",-0.0900000000000001
-9.44152358374548,0.00484277004020193,"pre",-0.0600000000000001
-0.924577718499846,0.000528024938624846,"post",-0.0600000000000001
-9.25350533154313,0.00474359902680613,"pre",-0.03
-1.81385759909229,0.00096797671634309,"post",-0.03
-9.24043722584596,0.00473403058222731,"pre",0
-0.520694147232423,0.000322044568529339,"post",0
-8.30124704390887,0.00425703550310952,"pre",0.03
-1.13273302164221,0.000623208786953536,"post",0.03
-8.16346160209041,0.00418212818047868,"pre",0.0600000000000001
-0.529061241925535,0.000320061212134133,"post",0.0600000000000001
-8.02154070508785,0.00410712923929573,"pre",0.0899999999999999
-0.666842714485238,0.000386829121643981,"post",0.0899999999999999
-7.087233390104,0.00363176160395237,"pre",0.12
-0.742575980205313,0.00042334027783059,"post",0.12
-7.57826198259816,0.00387490691511496,"pre",0.15
-1.22489491256295,0.000661988368645865,"post",0.15
-7.93199892938473,0.00405137011892402,"pre",0.18
2.62785715068437,-0.00125927585692636,"post",0.18
-6.88210091989624,0.0035206383915482,"pre",0.21
0.689372796067186,-0.0002985046120889,"post",0.21
-7.03747585288284,0.00359296960330027,"pre",0.24
-0.69856345498826,0.000389880789918793,"post",0.24
-7.09757996654139,0.0036215712339044,"pre",0.27
-0.560880154258944,0.000319187526924621,"post",0.27
-6.26156432977323,0.00319627927424318,"pre",0.3
0.15508369044409,-3.80061672499632e-05,"post",0.3
-5.89881290670287,0.00300982966979637,"pre",0.33
-1.35807787305635,0.000712281482014667,"post",0.33
-5.50608201689138,0.00280947708780327,"pre",0.36
-1.30817929293464,0.000686926512440632,"post",0.36
-5.08048858932049,0.00259300716943325,"pre",0.39
-1.85180493792948,0.000954857368993777,"post",0.39
-4.79523951297016,0.00244762073700003,"pre",0.42
-1.13750228138299,0.000599069892712943,"post",0.42
-4.3013962605239,0.00219735227446229,"pre",0.45
-1.15935178583224,0.000608805663883378,"post",0.45
-3.96216980030962,0.00202483086832893,"pre",0.48
-1.55445156738942,0.000803687860793972,"post",0.48
-4.18555245311164,0.00213542370542257,"pre",0.51
-1.29355210383041,0.000672814756835405,"post",0.51
-4.43585524089341,0.00226080719215059,"pre",0.54
-1.29355210383041,0.000672814756835405,"post",0.54
-4.63646639444574,0.00236150862975042,"pre",0.57
-0.737413996413536,0.000395747408156805,"post",0.57
-4.10557912314927,0.0020932347041875,"pre",0.6
-2.75613057395364,0.00139842120494825,"post",0.6
-4.14354707223366,0.00211097340139798,"pre",0.63
-3.28957175042423,0.00166312708730119,"post",0.63
-4.14354707223366,0.00211097340139798,"pre",0.66
-2.0934625771534,0.00106656683132024,"post",0.66
-4.11908395365289,0.00209824103572444,"pre",0.69
-3.16034493009458,0.00159597859602612,"post",0.69
-3.40202630266528,0.00173563782383925,"pre",0.72
-2.44604227354809,0.00124019111974529,"post",0.72
-3.2351532376498,0.00165120213568839,"pre",0.75
-1.91783030327611,0.000976315408170335,"post",0.75
-3.38520083639947,0.0017252482231616,"pre",0.78
-2.98362001538737,0.00150520620977399,"post",0.78
-3.32603984590373,0.00169390796359193,"pre",0.81
-1.713179251424,0.000872351384814557,"post",0.81
-2.9404337640061,0.00149908999383791,"pre",0.84
-1.17217434946322,0.000602743541677303,"post",0.84
-3.26389724463644,0.00166137135659946,"pre",0.87
-1.91274921577338,0.000970390600500833,"post",0.87
-3.26389724463644,0.00166137135659946,"pre",0.9
-1.25764494446334,0.000643438187657138,"post",0.9
-3.26389724463644,0.00166137135659946,"pre",0.93
-0.533651136413799,0.00028224107723402,"post",0.93
-3.26389724463644,0.00166137135659946,"pre",0.96
-0.533651136413799,0.00028224107723402,"post",0.96
-3.2069761169836,0.00163164368242154,"pre",0.99
0.548358667507767,-0.000256974609040489,"post",0.99
-3.2069761169836,0.00163164368242154,"pre",1.02
0.548358667507767,-0.000256974609040489,"post",1.02
-2.98477485723105,0.00151910232501014,"pre",1.05
0.548358667507767,-0.000256974609040489,"post",1.05
-2.6399470833833,0.00134447692864018,"pre",1.08
0.489160282271319,-0.000228139545603349,"post",1.08
-2.80770561536752,0.00142866644860401,"pre",1.11
-0.570781099875946,0.000297878553944163,"post",1.11
-2.42415815911795,0.00123486786762447,"pre",1.14
-2.07298580951099,0.00104255441471909,"post",1.14
-2.25728509410247,0.00115043217947361,"pre",1.17
-1.61527789876049,0.000814359688552765,"post",1.17
-2.25728509410247,0.00115043217947361,"pre",1.2
-0.642719308261468,0.000329573244263674,"post",1.2
-2.34917950140699,0.00119570927350066,"pre",1.23
-0.0865812008445899,5.25058955850729e-05,"post",1.23
-1.92535648955948,0.000981155366831616,"pre",1.26
-0.405947716681694,0.000210876936309055,"post",1.26
-2.0810614382056,0.00105924720962934,"pre",1.29
0.308354939864796,-0.00014491053997178,"post",1.29
-2.00414136785188,0.00102016180802684,"pre",1.32
0.122264253590286,-5.29987752658977e-05,"post",1.32
-1.85702553906422,0.000945018513069303,"pre",1.35
0.66326915555107,-0.000322606618403153,"post",1.35
-1.85702553906422,0.000945018513069303,"pre",1.38
0.604070770314623,-0.000293771554966013,"post",1.38
-1.85702553906422,0.000945018513069303,"pre",1.41
0.604070770314623,-0.000293771554966013,"post",1.41
-1.93183412916693,0.000982366785711692,"pre",1.44
0.604070770314623,-0.000293771554966013,"post",1.44
-1.93183412916693,0.000982366785711692,"pre",1.47
0.604070770314623,-0.000293771554966013,"post",1.47
-1.68916170062971,0.000859586700444578,"pre",1.5
1.06177868106513,-0.000521966281132342,"post",1.5
