"coef_int","coef_yr","era","threshold"
-1.4208611145289,0.00118443123160611,"pre",-1.5
1.82475537490414,-0.000451668798402856,"post",-1.5
-2.00716091531757,0.00147720209596516,"pre",-1.47
0.364648645848875,0.000272595907479498,"post",-1.47
-1.45315112329066,0.00119593559064928,"pre",-1.44
-0.578727873758871,0.000735155103475154,"post",-1.44
-1.73989591644601,0.00133930029583871,"pre",-1.41
-0.911119756668006,0.000895826003154136,"post",-1.41
-1.90999226672676,0.00141948461788109,"pre",-1.38
-2.30735564259271,0.00158488005210864,"post",-1.38
-0.642347056664848,0.000776706714406102,"pre",-1.35
-1.59738738141044,0.00122900125998855,"post",-1.35
-0.430244574601745,0.000666141158674141,"pre",-1.32
-4.18274781583036,0.00250831524142472,"post",-1.32
-0.378912405125877,0.000633214786806618,"pre",-1.29
-4.14132900308996,0.00248348294008313,"post",-1.29
-0.126357111423893,0.000500393011024565,"pre",-1.26
-3.14953359768958,0.0019814312633523,"post",-1.26
-0.406966763814685,0.000635645253632779,"pre",-1.23
-3.37526227056244,0.00208969109570396,"post",-1.23
-0.0638688453270565,0.000454994288368582,"pre",-1.2
-1.00554809494584,0.000904856736978464,"post",-1.2
1.45743591427474,-0.000317215785637767,"pre",-1.17
-5.1381100863525,0.00295259685212023,"post",-1.17
1.49821311650198,-0.000345514645613885,"pre",-1.14
-5.31952963535809,0.00304017606098882,"post",-1.14
1.24056609315252,-0.000218798414953893,"pre",-1.11
1.71613455430192,-0.000468501767271315,"post",-1.11
0.720991068577969,3.70043164279303e-05,"pre",-1.08
-1.15453670340229,0.000944365465660192,"post",-1.08
1.08691473352989,-0.000153991302549722,"pre",-1.05
-2.89505272254934,0.0018058867358753,"post",-1.05
0.99809896718576,-0.000118281234116435,"pre",-1.02
-0.0383621926778012,0.000375841600974373,"post",-1.02
-0.00856284718433432,0.000380806871178109,"pre",-0.99
-2.83528955820665,0.00175844115063648,"post",-0.99
-0.927162255609744,0.000833180364265002,"pre",-0.96
-3.61864184558952,0.00213547320613776,"post",-0.96
-0.842024571985988,0.000782157511923163,"pre",-0.93
-1.61818007852809,0.00113091610342889,"post",-0.93
-1.65273355350185,0.00118263296584436,"pre",-0.9
-2.17336876007356,0.00140313794763214,"post",-0.9
-0.879125004258031,0.000781384586979365,"pre",-0.87
-2.95013789079957,0.00177614126178861,"post",-0.87
-1.94767228752807,0.00131187259442434,"pre",-0.84
-7.16258364241179,0.00385267837116173,"post",-0.84
-1.86336306003362,0.00126236263012239,"pre",-0.81
-7.80992652120786,0.00417301074814435,"post",-0.81
-2.75305645326761,0.00170135289342112,"pre",-0.78
-12.1945934367507,0.00634071277992166,"post",-0.78
-2.65895439740162,0.00164363161011981,"pre",-0.75
-11.9985532013494,0.00623031210973595,"post",-0.75
-3.00308440679493,0.00180473349830475,"pre",-0.72
-8.6853152904748,0.00457231329960765,"post",-0.72
-3.13969198895744,0.0018672230337383,"pre",-0.69
-10.8430033282759,0.00562843011329468,"post",-0.69
-3.48561736742765,0.00203116402777112,"pre",-0.66
-12.5032109639351,0.00644360051593628,"post",-0.66
-2.84850806393136,0.00169615372719215,"pre",-0.63
-8.61411773165827,0.00449902446953372,"post",-0.63
-3.16926591567162,0.00184961040618998,"pre",-0.6
-8.51185547344077,0.0044334500390897,"post",-0.6
-3.22043145715587,0.00186226924809007,"pre",-0.57
-9.43757383059005,0.0048844701653811,"post",-0.57
-3.31746563373989,0.00189656479144001,"pre",-0.54
-6.53286493954426,0.00342846968511215,"post",-0.54
-2.36446132681529,0.00141030176590801,"pre",-0.51
-5.12356851551396,0.00271749784575186,"post",-0.51
-3.42140602413098,0.00193161126045828,"pre",-0.48
-4.83251148311422,0.0025624737887493,"post",-0.48
-4.05073436082284,0.00223698152594783,"pre",-0.45
-0.794715887111157,0.000541867559714418,"post",-0.45
-5.78296121940607,0.0030982409395063,"pre",-0.42
0.959895330334081,-0.000334620058926506,"post",-0.42
-6.66909691559164,0.0035341923942589,"pre",-0.39
3.0527200541865,-0.00138152791064945,"post",-0.39
-7.45815129443352,0.00392546698315844,"pre",-0.36
4.21961812494908,-0.00197153760442788,"post",-0.36
-9.95545566934802,0.00517427463237041,"pre",-0.33
2.58591343764158,-0.00116359569585389,"post",-0.33
-9.26883070896309,0.00481770289750675,"pre",-0.3
1.14091854491797,-0.000455339604109721,"post",-0.3
-10.6406505551735,0.00549990733589348,"pre",-0.27
2.62499391597033,-0.00119792424439628,"post",-0.27
-11.0665713526867,0.00570215224834256,"pre",-0.24
1.09637597677829,-0.000446049105887215,"post",-0.24
-10.7459825386205,0.00553432952862414,"pre",-0.21
-1.81244895843815,0.000989742732171077,"post",-0.21
-11.3655153208233,0.00583731157401132,"pre",-0.18
-0.571101887800328,0.000369665700764472,"post",-0.18
-10.6758070049366,0.00548242917903242,"pre",-0.15
0.551816507631409,-0.000194351689782776,"post",-0.15
-10.3432293196509,0.00530954725794994,"pre",-0.12
-2.70646521695883,0.00142303877500905,"post",-0.12
-9.67294392585544,0.00496746457262874,"pre",-0.0900000000000001
-2.66142577730519,0.00139724201570209,"post",-0.0900000000000001
-9.22564997862225,0.00473541474933715,"pre",-0.0600000000000001
-1.9471270337814,0.00103757215355473,"post",-0.0600000000000001
-8.69283363637568,0.00446203740814359,"pre",-0.03
-1.66830363245789,0.000894946166915129,"post",-0.03
-8.6616407639698,0.00444334985167412,"pre",0
-0.579892532468872,0.000350879631966479,"post",0
-8.24649712750508,0.0042308765459466,"pre",0.03
0.0246393075950866,4.7044535174727e-05,"post",0.03
-7.78531865239543,0.00399230088966815,"pre",0.0600000000000001
-1.04391192167405,0.000576652930256898,"post",0.0600000000000001
-7.5077326524748,0.00384939390356286,"pre",0.0899999999999999
-1.71513457070434,0.000908126722119685,"post",0.0899999999999999
-7.67160393892682,0.00392845086253169,"pre",0.12
-1.45687863675181,0.000779127754111427,"post",0.12
-7.82607607690755,0.00400224317501339,"pre",0.15
-0.825848615278153,0.000461372732191646,"post",0.15
-7.10760356254232,0.00363651361457835,"pre",0.18
-1.20632571299983,0.000649115845631354,"post",0.18
-6.97173890133467,0.00356574250990952,"pre",0.21
-0.794430228853362,0.00044316232084576,"post",0.21
-6.43263082589327,0.00329042985322513,"pre",0.24
-0.00935400723887062,4.83445059217528e-05,"post",0.24
-5.8859180510684,0.00301133201756571,"pre",0.27
-0.659310350925316,0.000368060149436894,"post",0.27
-6.26029571266321,0.00319476422703645,"pre",0.3
-0.928778286640717,0.000501076220586839,"post",0.3
-5.85945119082797,0.00299004009605282,"pre",0.33
-1.64665622200459,0.000856361813084709,"post",0.33
-5.6761489346021,0.002896428703056,"pre",0.36
-2.03576167279734,0.00104810118826062,"post",0.36
-5.33722288552343,0.00272394002441224,"pre",0.39
-1.77750573884482,0.000919102220252361,"post",0.39
-5.29335534437767,0.00269926609767607,"pre",0.42
-1.75480880789852,0.0009067407539267,"post",0.42
-5.09712333144261,0.00259791853169436,"pre",0.45
-1.98864878553413,0.00102074059789611,"post",0.45
-4.6345028765621,0.00236378108956368,"pre",0.48
-1.55445156738942,0.000803687860793972,"post",0.48
-4.42352134279517,0.00225617677190325,"pre",0.51
-1.01344666542864,0.000534080017656717,"post",0.51
-4.47812277311088,0.00228263957147529,"pre",0.54
-1.29355210383041,0.000672814756835405,"post",0.54
-4.24233366443066,0.00216157784158434,"pre",0.57
-1.29355210383041,0.000672814756835405,"post",0.57
-4.16831482612611,0.00212366057677632,"pre",0.6
-3.90323392201223,0.00196826930228995,"post",0.6
-4.0735596569777,0.00207499062884232,"pre",0.63
-3.90323392201223,0.00196826930228995,"post",0.63
-4.0735596569777,0.00207499062884232,"pre",0.66
-3.81544920140462,0.00192293100886982,"post",0.66
-4.0735596569777,0.00207499062884232,"pre",0.69
-3.87464758664107,0.00195176607230696,"post",0.69
-4.2592534466887,0.00216815428011213,"pre",0.72
-3.87464758664107,0.00195176607230696,"post",0.72
-4.2592534466887,0.00216815428011213,"pre",0.75
-2.44604227354809,0.00124019111974529,"post",0.75
-3.94084081650382,0.00200646442575446,"pre",0.78
-3.41781723353208,0.00172225894687614,"post",0.78
-3.25081307091037,0.00165778319002665,"pre",0.81
-2.70351457698559,0.0013664714705953,"post",0.81
-3.72027852375819,0.00189343805803447,"pre",0.84
-1.7283124568801,0.000879810890355905,"post",0.84
-3.74811481819068,0.00190693444321386,"pre",0.87
-2.46888732319026,0.00124745794917943,"post",0.87
-3.38590689956224,0.001723136875186,"pre",0.9
-1.91274921577338,0.000970390600500833,"post",0.9
-3.38590689956224,0.001723136875186,"pre",0.93
-1.91274921577338,0.000970390600500833,"post",0.93
-3.2406257101634,0.0016496809193771,"pre",0.96
-1.24795379296029,0.000638028553514856,"post",0.96
-3.06169492758477,0.00155818772661264,"pre",0.99
0.548358667507767,-0.000256974609040489,"post",0.99
-3.06169492758477,0.00155818772661264,"pre",1.02
1.06487053541282,-0.000514972545056999,"post",1.02
-3.06169492758477,0.00155818772661264,"pre",1.05
1.06487053541282,-0.000514972545056999,"post",1.05
-2.54496733385167,0.00129663338621101,"pre",1.08
0.745504019575718,-0.000356601504333017,"post",1.08
-2.54585280082041,0.00129638721802398,"pre",1.11
1.00375995352825,-0.000485600472341274,"post",1.11
-2.54585280082041,0.00129638721802398,"pre",1.14
0.203986701981641,-8.91183500806057e-05,"post",1.14
-2.54585280082041,0.00129638721802398,"pre",1.17
