"coef_int","coef_yr","era","threshold"
0.959044919058319,-9.96990541114516e-05,"pre",-1
2.17770188330138,-0.000729694580982007,"post",-1
-1.3882054421151,0.00106227899672497,"pre",-0.95
-2.4836686998095,0.00156897704245491,"post",-0.95
-1.65273355350185,0.00118263296584436,"pre",-0.9
-2.17336876007356,0.00140313794763214,"post",-0.9
-2.28155434616866,0.00148293163059301,"pre",-0.85
-5.52697081824986,0.00304587097078223,"post",-0.85
-1.69460483347147,0.00117200557262996,"pre",-0.8
-8.90615829789166,0.00471165117877288,"post",-0.8
-2.65895439740162,0.00164363161011981,"pre",-0.75
-11.9985532013494,0.00623031210973595,"post",-0.75
-3.32925432502653,0.00196451378975277,"pre",-0.7
-9.81204197951035,0.0051225465155495,"post",-0.7
-2.60823689013498,0.00158625681855711,"pre",-0.65
-12.0455030531846,0.00621540578976996,"post",-0.65
-3.16926591567162,0.00184961040618998,"pre",-0.6
-8.51185547344077,0.0044334500390897,"post",-0.6
-2.8161769383114,0.00164912229421212,"pre",-0.55
-6.59037438682161,0.00345948634874354,"post",-0.55
-2.00453554789037,0.00122670055988727,"pre",-0.5
-9.16100167059419,0.00472284543933475,"post",-0.5
-4.05073436082284,0.00223698152594783,"pre",-0.45
-0.794715887111157,0.000541867559714418,"post",-0.45
-5.85206081543729,0.00312406080915732,"pre",-0.4
0.828167624518986,-0.000273258515935045,"post",-0.4
-8.52327715134992,0.00445768576962604,"pre",-0.35
4.77575623236596,-0.00224860495310648,"post",-0.35
-9.26883070896309,0.00481770289750675,"pre",-0.3
1.14091854491797,-0.000455339604109721,"post",-0.3
-11.3963068960269,0.00587117679596065,"pre",-0.25
2.64733642467766,-0.00121135953737757,"post",-0.25
-10.9345845248695,0.00562878053216606,"pre",-0.2
-2.04265581671822,0.00110312250177573,"post",-0.2
-10.6758070049366,0.00548242917903242,"pre",-0.15
0.551816507631409,-0.000194351689782776,"post",-0.15
-10.1177673888375,0.00519347664472312,"pre",-0.1
-2.1506815317809,0.00114489759967481,"post",-0.1
-8.45544063813246,0.00434532290947391,"pre",-0.0499999999999999
-2.43250486912608,0.00127608861277,"post",-0.0499999999999999
-8.6616407639698,0.00444334985167412,"pre",0
-0.579892532468872,0.000350879631966479,"post",0
-8.23897455057524,0.00422492348341673,"pre",0.05
-1.50161983242455,0.000804847656423224,"post",0.05
-7.5077326524748,0.00384939390356286,"pre",0.1
-1.45687863675181,0.000779127754111427,"post",0.1
-7.82607607690755,0.00400224317501339,"pre",0.15
-0.825848615278153,0.000461372732191646,"post",0.15
-6.95406113255273,0.00355753626758173,"pre",0.2
-0.844328808975067,0.000468517290419796,"post",0.2
-5.7408212430351,0.00293996268108859,"pre",0.25
1.35940622661479,-0.000634613647354552,"post",0.25
-6.26029571266321,0.00319476422703645,"pre",0.3
-0.928778286640717,0.000501076220586839,"post",0.3
-5.81607117215383,0.00296712183784044,"pre",0.35
-2.03576167279734,0.00104810118826062,"post",0.35
-5.34483659767496,0.00272709280067426,"pre",0.4
-1.22136763142794,0.00064203487157376,"post",0.4
-5.09712333144261,0.00259791853169436,"pre",0.45
-1.98864878553413,0.00102074059789611,"post",0.45
-4.48922168716326,0.00229032513375478,"pre",0.5
-1.01344666542864,0.000534080017656717,"post",0.5
-4.47812277311088,0.00228263957147529,"pre",0.55
-1.29355210383041,0.000672814756835405,"post",0.55
-4.16831482612611,0.00212366057677632,"pre",0.6
-3.90323392201223,0.00196826930228995,"post",0.6
-4.0735596569777,0.00207499062884232,"pre",0.65
-3.81544920140462,0.00192293100886982,"post",0.65
-4.0735596569777,0.00207499062884232,"pre",0.7
-3.87464758664107,0.00195176607230696,"post",0.7
